flight_id,flight_no,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,status,aircraft_code,actual_departure,actual_arrival
28740,PG0673,"2017-06-20 06:10:00","2017-06-20 08:35:00",KJA,KRO,Arrived,CR2,"2017-06-20 06:12:00","2017-06-20 08:36:00"
64611,PG0670,"2017-06-20 11:25:00","2017-06-20 13:55:00",KRO,VKO,Arrived,CR2,"2017-06-20 11:28:00","2017-06-20 13:58:00"
64813,PG0674,"2017-06-08 06:35:00","2017-06-08 09:00:00",KRO,KJA,Arrived,CR2,"2017-06-08 06:37:00","2017-06-08 09:00:00"
4285,PG0220,"2017-07-04 15:05:00","2017-07-04 16:35:00",DME,KRR,Arrived,763,"2017-07-04 15:07:00","2017-07-04 16:39:00"
47762,PG0221,"2017-07-15 14:55:00","2017-07-15 16:25:00",KRR,DME,Arrived,763,"2017-07-15 14:58:00","2017-07-15 16:27:00"
945,PG0216,"2017-07-01 11:10:00","2017-07-01 12:15:00",DME,KUF,Arrived,763,"2017-07-01 11:13:00","2017-07-01 12:17:00"
25083,PG0217,"2017-07-13 07:40:00","2017-07-13 08:45:00",KUF,DME,Arrived,763,"2017-07-13 07:40:00","2017-07-13 08:45:00"
14496,PG0637,"2017-07-16 11:05:00","2017-07-16 12:05:00",SVO,KVX,Arrived,SU9,"2017-07-16 14:29:00","2017-07-16 15:29:00"
23635,PG0039,"2017-07-25 14:25:00","2017-07-25 14:50:00",KZN,KVX,Arrived,SU9,"2017-07-25 14:30:00","2017-07-25 14:55:00"
56642,PG0638,"2017-07-26 16:15:00","2017-07-26 17:15:00",KVX,SVO,Arrived,SU9,"2017-07-26 16:18:00","2017-07-26 17:18:00"
57010,PG0040,"2017-07-17 10:45:00","2017-07-17 11:10:00",KVX,KZN,Arrived,SU9,"2017-07-17 10:49:00","2017-07-17 11:14:00"
9908,PG0472,"2017-07-25 15:30:00","2017-07-25 16:20:00",SVO,LED,Arrived,321,"2017-07-25 18:43:00","2017-07-25 19:32:00"
12674,PG0251,"2017-08-04 15:05:00","2017-08-04 16:45:00",SVO,AAQ,Arrived,733,"2017-08-04 15:08:00","2017-08-04 16:48:00"
16702,PG0476,"2017-08-04 06:45:00","2017-08-04 07:35:00",LED,SVO,Arrived,321,"2017-08-04 06:48:00","2017-08-04 07:38:00"
41657,PG0252,"2017-07-25 10:05:00","2017-07-25 11:45:00",AAQ,SVO,Arrived,733,"2017-07-25 13:21:00","2017-07-25 15:02:00"
10348,PG0472,"2017-07-20 15:30:00","2017-07-20 16:20:00",SVO,LED,Arrived,321,"2017-07-20 15:34:00","2017-07-20 16:24:00"
10927,PG0529,"2017-08-01 06:50:00","2017-08-01 08:20:00",SVO,UFA,Arrived,763,"2017-08-01 06:54:00","2017-08-01 08:23:00"
16883,PG0476,"2017-07-31 06:45:00","2017-07-31 07:35:00",LED,SVO,Arrived,321,"2017-07-31 06:47:00","2017-07-31 07:37:00"
26688,PG0530,"2017-07-20 07:30:00","2017-07-20 09:00:00",UFA,SVO,Arrived,763,"2017-07-20 07:32:00","2017-07-20 09:01:00"
10565,PG0225,"2017-05-24 09:50:00","2017-05-24 11:35:00",SVO,SVX,Arrived,773,"2017-05-24 09:53:00","2017-05-24 11:38:00"
21556,PG0226,"2017-06-03 05:10:00","2017-06-03 06:55:00",SVX,SVO,Arrived,773,"2017-06-03 05:13:00","2017-06-03 06:57:00"
22666,PG0166,"2017-05-25 11:35:00","2017-05-25 12:10:00",SVX,MQF,Arrived,CR2,"2017-05-25 11:37:00","2017-05-25 12:12:00"
59066,PG0167,"2017-06-02 10:45:00","2017-06-02 11:20:00",MQF,SVX,Arrived,CR2,"2017-06-02 10:47:00","2017-06-02 11:22:00"
8818,PG0515,"2017-07-07 11:00:00","2017-07-07 13:00:00",VKO,MQF,Arrived,CR2,"2017-07-07 11:03:00","2017-07-07 13:06:00"
58809,PG0516,"2017-07-14 05:55:00","2017-07-14 07:55:00",MQF,VKO,Arrived,CR2,"2017-07-14 05:56:00","2017-07-14 07:55:00"
12955,PG0089,"2017-07-03 13:40:00","2017-07-03 15:50:00",SVO,OVS,Arrived,SU9,"2017-07-03 13:44:00","2017-07-03 15:53:00"
33122,PG0641,"2017-07-13 08:15:00","2017-07-13 09:15:00",NJC,OVS,Arrived,CR2,"2017-07-13 08:17:00","2017-07-13 09:18:00"
44948,PG0090,"2017-07-14 10:40:00","2017-07-14 12:50:00",OVS,SVO,Arrived,SU9,"2017-07-14 10:44:00","2017-07-14 12:54:00"
45397,PG0642,"2017-07-04 11:45:00","2017-07-04 12:45:00",OVS,NJC,Arrived,CR2,"2017-07-04 11:47:00","2017-07-04 12:47:00"
3125,PG0124,"2017-07-25 08:30:00","2017-07-25 12:20:00",DME,NSK,Arrived,SU9,"2017-07-25 08:33:00","2017-07-25 12:22:00"
41359,PG0125,"2017-08-03 11:45:00","2017-08-03 15:35:00",NSK,DME,Arrived,SU9,"2017-08-03 11:49:00","2017-08-03 15:40:00"
511,PG0222,"2017-06-25 08:05:00","2017-06-25 11:30:00",DME,OVB,Arrived,773,"2017-06-25 08:08:00","2017-06-25 11:32:00"
19580,PG0223,"2017-07-03 08:50:00","2017-07-03 12:15:00",OVB,DME,Arrived,773,"2017-07-03 08:50:00","2017-07-03 12:14:00"
18924,PG0285,"2017-07-13 07:50:00","2017-07-13 09:20:00",LED,KVX,Arrived,SU9,"2017-07-13 07:55:00","2017-07-13 09:26:00"
21268,PG0311,"2017-07-23 10:35:00","2017-07-23 13:20:00",OVB,KVX,Arrived,SU9,"2017-07-23 10:39:00","2017-07-23 13:25:00"
56747,PG0286,"2017-07-24 12:45:00","2017-07-24 14:15:00",KVX,LED,Arrived,SU9,"2017-07-24 12:48:00","2017-07-24 14:18:00"
56843,PG0312,"2017-07-14 08:40:00","2017-07-14 11:25:00",KVX,OVB,Arrived,SU9,"2017-07-14 11:37:00","2017-07-14 14:22:00"
6916,PG0412,"2017-06-29 08:00:00","2017-06-29 09:25:00",VKO,PEE,Arrived,773,"2017-06-29 08:03:00","2017-06-29 09:28:00"
19947,PG0186,"2017-07-10 10:50:00","2017-07-10 13:00:00",OVB,PEE,Arrived,319,"2017-07-10 10:51:00","2017-07-10 13:01:00"
28839,PG0413,"2017-07-10 15:55:00","2017-07-10 17:20:00",PEE,VKO,Arrived,773,"2017-07-10 15:59:00","2017-07-10 17:24:00"
28983,PG0187,"2017-06-29 12:05:00","2017-06-29 14:15:00",PEE,OVB,Arrived,319,"2017-06-29 12:07:00","2017-06-29 14:17:00"
11137,PG0174,"2017-07-28 13:25:00","2017-07-28 14:40:00",SVO,VOG,Arrived,SU9,"2017-07-28 13:28:00","2017-07-28 14:43:00"
24130,PG0184,"2017-07-19 15:50:00","2017-07-19 17:40:00",CEK,VOG,Arrived,SU9,"2017-07-19 15:52:00","2017-07-19 17:42:00"
30458,PG0175,"2017-07-20 13:30:00","2017-07-20 14:45:00",VOG,SVO,Arrived,SU9,"2017-07-20 13:32:00","2017-07-20 14:47:00"
30563,PG0185,"2017-07-29 10:35:00","2017-07-29 12:25:00",VOG,CEK,Arrived,SU9,"2017-07-29 10:40:00","2017-07-29 12:30:00"
14344,PG0513,"2017-06-07 15:40:00","2017-06-07 17:35:00",SVO,PEZ,Arrived,CN1,"2017-06-07 15:45:00","2017-06-07 17:40:00"
56173,PG0514,"2017-05-30 11:50:00","2017-05-30 13:45:00",PEZ,SVO,Arrived,CN1,"2017-05-30 11:51:00","2017-05-30 13:47:00"
21625,PG0226,"2017-08-12 05:10:00","2017-08-12 06:55:00",SVX,SVO,Arrived,773,"2017-08-12 05:15:00","2017-08-12 07:00:00"
11846,PG0703,"2017-07-28 14:15:00","2017-07-28 23:00:00",SVO,UUS,Arrived,319,"2017-07-28 14:17:00","2017-07-28 22:59:00"
35810,PG0704,"2017-07-22 07:45:00","2017-07-22 16:30:00",UUS,SVO,Arrived,319,"2017-07-22 07:49:00","2017-07-22 16:35:00"
3081,PG0124,"2017-05-29 08:30:00","2017-05-29 12:20:00",DME,NSK,Arrived,SU9,"2017-05-29 08:32:00","2017-05-29 12:23:00"
22563,PG0599,"2017-06-11 12:55:00","2017-06-11 13:50:00",SVX,HMA,Arrived,SU9,"2017-06-11 12:57:00","2017-06-11 13:51:00"
41511,PG0379,"2017-05-30 03:40:00","2017-05-30 06:15:00",NSK,SVX,Arrived,SU9,"2017-05-30 03:45:00","2017-05-30 06:21:00"
43557,PG0240,"2017-06-12 04:15:00","2017-06-12 06:50:00",HMA,DME,Arrived,SU9,"2017-06-12 04:16:00","2017-06-12 06:52:00"
10620,PG0225,"2017-07-15 09:50:00","2017-07-15 11:35:00",SVO,SVX,Arrived,773,"2017-07-15 09:51:00","2017-07-15 11:34:00"
10681,PG0503,"2017-07-19 10:55:00","2017-07-19 13:55:00",SVO,OMS,Arrived,SU9,"2017-07-19 11:01:00","2017-07-19 14:01:00"
21614,PG0226,"2017-07-19 05:10:00","2017-07-19 06:55:00",SVX,SVO,Arrived,773,"2017-07-19 05:16:00","2017-07-19 07:01:00"
24867,PG0504,"2017-07-14 12:20:00","2017-07-14 15:20:00",OMS,SVO,Arrived,SU9,"2017-07-14 12:22:00","2017-07-14 15:22:00"
10579,PG0225,"2017-05-19 09:50:00","2017-05-19 11:35:00",SVO,SVX,Arrived,773,"2017-05-19 09:54:00","2017-05-19 11:39:00"
21639,PG0226,"2017-05-25 05:10:00","2017-05-25 06:55:00",SVX,SVO,Arrived,773,"2017-05-25 05:13:00","2017-05-25 06:59:00"
10560,PG0225,"2017-06-01 09:50:00","2017-06-01 11:35:00",SVO,SVX,Arrived,773,"2017-06-01 09:56:00","2017-06-01 11:39:00"
21671,PG0226,"2017-06-14 05:10:00","2017-06-14 06:55:00",SVX,SVO,Arrived,773,"2017-06-14 05:11:00","2017-06-14 06:55:00"
8441,PG0553,"2017-05-28 10:45:00","2017-05-28 12:25:00",VKO,REN,Arrived,SU9,"2017-05-28 10:49:00","2017-05-28 12:27:00"
27316,PG0148,"2017-06-01 05:15:00","2017-06-01 05:40:00",UFA,REN,Arrived,CR2,"2017-06-01 05:18:00","2017-06-01 05:43:00"
54170,PG0554,"2017-06-02 06:35:00","2017-06-02 08:15:00",REN,VKO,Arrived,SU9,"2017-06-02 06:38:00","2017-06-02 08:18:00"
54419,PG0149,"2017-05-29 07:45:00","2017-05-29 08:10:00",REN,UFA,Arrived,CR2,"2017-05-29 07:47:00","2017-05-29 08:12:00"
8397,PG0200,"2017-06-22 16:20:00","2017-06-23 00:45:00",VKO,VVO,Arrived,763,"2017-06-22 16:21:00","2017-06-23 00:45:00"
52733,PG0201,"2017-06-14 09:10:00","2017-06-14 17:35:00",VVO,VKO,Arrived,763,"2017-06-14 09:15:00","2017-06-14 17:33:00"
